/home/cpaliard/Documents/stylegan2-ada-pytorch/projector.py:226: DeprecationWarning: LANCZOS is deprecated and will be removed in Pillow 10 (2023-07-01). Use Resampling.LANCZOS instead.
  target_pil = target_pil.resize((G.img_resolution, G.img_resolution), PIL.Image.LANCZOS)
Loading networks from "https://nvlabs-fi-cdn.nvidia.com/stylegan2-ada-pytorch/pretrained/ffhq.pkl"...
Computing W midpoint and stddev using 1 samples...
Setting up PyTorch plugin "bias_act_plugin"... Done.
Setting up PyTorch plugin "upfirdn2d_plugin"... /home/cpaliard/miniconda3/envs/sg_env/lib/python3.10/site-packages/torch/nn/modules/module.py:1130: UserWarning: operator() profile_node %106 : int = prim::profile_ivalue(%104)
 does not have profile information (Triggered internally at  ../torch/csrc/jit/codegen/cuda/graph_fuser.cpp:104.)
  return forward_call(*input, **kwargs)
/home/cpaliard/miniconda3/envs/sg_env/lib/python3.10/site-packages/torch/nn/modules/module.py:1130: UserWarning: concrete shape for bias input is required to decompose into conv + bias (Triggered internally at  ../torch/csrc/jit/codegen/cuda/graph_fuser.cpp:2233.)
  return forward_call(*input, **kwargs)
Done.
step    1/1000: dist 0.6616 loss 26007.1348
step    2/1000: dist 0.6611 loss 36522.1797
step    3/1000: dist 0.6574 loss 36079.4922
step    4/1000: dist 0.6502 loss 35220.9180
step    5/1000: dist 0.6404 loss 33981.1094
step    6/1000: dist 0.6272 loss 32413.6328
step    7/1000: dist 0.6149 loss 30580.8770
step    8/1000: dist 0.6017 loss 28540.7539
step    9/1000: dist 0.5898 loss 26334.4336
step   10/1000: dist 0.5786 loss 23995.3516
step   11/1000: dist 0.5688 loss 21562.4121
step   12/1000: dist 0.5605 loss 19075.5996
step   13/1000: dist 0.5562 loss 16570.7676
step   14/1000: dist 0.5490 loss 14097.4795
step   15/1000: dist 0.5398 loss 11715.4541
step   16/1000: dist 0.5352 loss 9498.8037
step   17/1000: dist 0.5269 loss 7512.2285
step   18/1000: dist 0.5172 loss 5796.7085
step   19/1000: dist 0.5075 loss 4381.5332
step   20/1000: dist 0.5004 loss 3247.5190
step   21/1000: dist 0.4890 loss 2391.5427
step   22/1000: dist 0.4768 loss 1799.4696
step   23/1000: dist 0.4667 loss 1452.8671
step   24/1000: dist 0.4645 loss 1328.4594
step   25/1000: dist 0.4623 loss 1377.8215
step   26/1000: dist 0.4560 loss 1538.2084
step   27/1000: dist 0.4531 loss 1751.3616
step   28/1000: dist 0.4492 loss 2004.9946
step   29/1000: dist 0.4454 loss 2281.9412
step   30/1000: dist 0.4418 loss 2537.5989
step   31/1000: dist 0.4394 loss 2765.1487
step   32/1000: dist 0.4361 loss 2937.5771
step   33/1000: dist 0.4327 loss 2992.2747
step   34/1000: dist 0.4289 loss 2887.5291
step   35/1000: dist 0.4211 loss 2637.7358
step   36/1000: dist 0.4154 loss 2290.5723
step   37/1000: dist 0.4168 loss 1889.2664
step   38/1000: dist 0.4155 loss 1475.1655
step   39/1000: dist 0.4125 loss 1066.7266
step   40/1000: dist 0.4138 loss 692.6183
step   41/1000: dist 0.4136 loss 391.3114
step   42/1000: dist 0.4096 loss 198.5476
step   43/1000: dist 0.4047 loss 148.1469
step   44/1000: dist 0.4024 loss 234.6160
step   45/1000: dist 0.3923 loss 387.5677
step   46/1000: dist 0.3847 loss 553.7094
step   47/1000: dist 0.3865 loss 696.3909
step   48/1000: dist 0.3934 loss 777.4754
step   49/1000: dist 0.3993 loss 797.4689
step   50/1000: dist 0.3949 loss 732.4385
step   51/1000: dist 0.3920 loss 609.5400
step   52/1000: dist 0.3822 loss 469.8073
step   53/1000: dist 0.3781 loss 310.6397
step   54/1000: dist 0.3821 loss 207.2501
step   55/1000: dist 0.3820 loss 119.1282
step   56/1000: dist 0.3812 loss 85.6889
step   57/1000: dist 0.3801 loss 91.6384
step   58/1000: dist 0.3775 loss 110.2221
step   59/1000: dist 0.3736 loss 167.5852
step   60/1000: dist 0.3703 loss 190.8685
step   61/1000: dist 0.3683 loss 221.4329
step   62/1000: dist 0.3674 loss 216.7414
step   63/1000: dist 0.3649 loss 192.9537
step   64/1000: dist 0.3633 loss 155.7090
step   65/1000: dist 0.3632 loss 131.6520
step   66/1000: dist 0.3624 loss 95.3958
step   67/1000: dist 0.3594 loss 65.5582
step   68/1000: dist 0.3574 loss 48.2994
step   69/1000: dist 0.3536 loss 34.1047
step   70/1000: dist 0.3506 loss 32.4632
step   71/1000: dist 0.3493 loss 31.3959
step   72/1000: dist 0.3468 loss 41.0471
